,text,username,link,code,date,sentiment,probability
,"RT @MarsCuriosity: Can't stop. Won't stop.   I've been exploring #Mars for seven years, traveled 13 miles (21 km), climbed 1,207 feet (368 m), found conditions on ancient Mars were favorable for life as we know it, and I'm not done yet.   Here's what's new (plus a 360 view): https://t.co/KW5uyV2Uumhttps://t.co/ljnGp75cu6",elonmusk,http://twitter.com/elonmusk/status/1158632293772038144,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Can&#39;t stop. Won&#39;t stop.<br> <br>I&#39;ve been exploring <a href=""https://twitter.com/hashtag/Mars?src=hash&amp;ref_src=twsrc%5Etfw"">#Mars</a> for seven years, traveled 13 miles (21 km), climbed 1,207 feet (368 m), found conditions on ancient Mars were favorable for life as we know it, and I&#39;m not done yet.<br> <br>Here&#39;s what&#39;s new (plus a 360 view): <a href=""https://t.co/KW5uyV2Uum"">https://t.co/KW5uyV2Uum</a> <a href=""https://t.co/ljnGp75cu6"">pic.twitter.com/ljnGp75cu6</a></p>&mdash; Curiosity Rover (@MarsCuriosity) <a href=""https://twitter.com/MarsCuriosity/status/1158484304235679744?ref_src=twsrc%5Etfw"">August 5, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,1,0.6675014496
,Hoping to catch the fairing in a few mins https://t.co/JZSkfQnItX,elonmusk,http://twitter.com/elonmusk/status/1158891679614558210,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Hoping to catch the fairing in a few mins <a href=""https://t.co/JZSkfQnItX"">https://t.co/JZSkfQnItX</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158891679614558210?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,-1,0.8452989459
,"Fairing caught, video posting soon",elonmusk,http://twitter.com/elonmusk/status/1158894877733580800,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Fairing caught, video posting soon</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158894877733580800?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,-1,0.9976298809
,Rocket fairing falls from space &amp; is caught by Ms Tree boat https://t.co/nJv0Ry1iKk,elonmusk,http://twitter.com/elonmusk/status/1158899839456800769,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Rocket fairing falls from space &amp; is caught by Ms Tree boat <a href=""https://t.co/nJv0Ry1iKk"">pic.twitter.com/nJv0Ry1iKk</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158899839456800769?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,-1,0.9999711514
,And @JayLeno really knows cars! https://t.co/QN3x0UzP4v,elonmusk,http://twitter.com/elonmusk/status/1158901207965954048,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">And <a href=""https://twitter.com/jayleno?ref_src=twsrc%5Etfw"">@JayLeno</a> really knows cars! <a href=""https://t.co/QN3x0UzP4v"">https://t.co/QN3x0UzP4v</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158901207965954048?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,1,0.9779354334
,Ride the lightning! https://t.co/86lS7cpVfP,elonmusk,http://twitter.com/elonmusk/status/1158915339591155712,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Ride the lightning! <a href=""https://t.co/86lS7cpVfP"">pic.twitter.com/86lS7cpVfP</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158915339591155712?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,1,0.9990625978
,"RT @SpaceX: Falcon 9 launches AMOS-17 off Pad 40 in Florida, marking this booster's third flight and SpaceX's 25th reflight of an orbit class rocket. https://t.co/qcrfZTmxQ3",elonmusk,http://twitter.com/elonmusk/status/1158949139779993600,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Falcon 9 launches AMOS-17 off Pad 40 in Florida, marking this booster's third flight and SpaceX's 25th reflight of an orbit class rocket. <a href=""https://t.co/qcrfZTmxQ3"">pic.twitter.com/qcrfZTmxQ3</a></p>&mdash; SpaceX (@SpaceX) <a href=""https://twitter.com/SpaceX/status/1158934202550669312?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,1,0.991009593
,@RDAnglePhoto @SciGuySpace @SpaceX @CanonUSA Great shot!,elonmusk,http://twitter.com/elonmusk/status/1158963624418746369,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Great shot!</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158963624418746369?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,1,0.9983685613
,Rocket fairing falling from space (higher res) https://t.co/sa1j10qAWi,elonmusk,http://twitter.com/elonmusk/status/1158968745227780096,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Rocket fairing falling from space (higher res) <a href=""https://t.co/sa1j10qAWi"">pic.twitter.com/sa1j10qAWi</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158968745227780096?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,-1,0.9985981584
,@Erdayastronaut Sure,elonmusk,http://twitter.com/elonmusk/status/1158981487170953216,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Sure</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158981487170953216?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,1,0.9750127792
,Strangers in the Night  https://t.co/9ZURElJxJQ,elonmusk,http://twitter.com/elonmusk/status/1158996345677438977,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr""> Strangers in the Night <a href=""https://t.co/9ZURElJxJQ"">https://t.co/9ZURElJxJQ</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158996345677438977?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,-1,0.8205327988
,@bluemoondance74 @Erdayastronaut Ok,elonmusk,http://twitter.com/elonmusk/status/1158997677117329409,"<blockquote class=""twitter-tweet""><p lang=""und"" dir=""ltr"">Ok</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158997677117329409?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-07,1,0.5684600472
,RT @cleantechnica: Breaking! IIHS To Crash Test Tesla Model 3 Next Week! https://t.co/StRslE7Vxmhttps://t.co/9bTtgZMKjN,elonmusk,http://twitter.com/elonmusk/status/1159340595942289409,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Breaking! IIHS To Crash Test Tesla Model 3 Next Week! <a href=""https://t.co/StRslE7Vxm"">https://t.co/StRslE7Vxm</a> <a href=""https://t.co/9bTtgZMKjN"">pic.twitter.com/9bTtgZMKjN</a></p>&mdash; CleanTechnica (@cleantechnica) <a href=""https://twitter.com/cleantechnica/status/1159134604059656192?ref_src=twsrc%5Etfw"">August 7, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-08,-1,0.9940589666
,@Sofiaan @IIHS_autosafety @atj721 Well said!,elonmusk,http://twitter.com/elonmusk/status/1159344840657608705,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Well said!</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159344840657608705?ref_src=twsrc%5Etfw"">August 8, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-08,1,0.9937321544
,"@HarryStoltz1 @Sofiaan @IIHS_autosafety @atj721 Good question. NHTSA is great for fundamental structural safety, except for unbelted front passenger occupant factor. Very rare these days for front passenger to be unbelted. NCAP also great, but there are some weird headlight angle factors. Super inside baseball stuff ...",elonmusk,http://twitter.com/elonmusk/status/1159348472958427136,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Good question. NHTSA is great for fundamental structural safety, except for unbelted front passenger occupant factor. Very rare these days for front passenger to be unbelted. NCAP also great, but there are some weird headlight angle factors. Super inside baseball stuff ...</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159348472958427136?ref_src=twsrc%5Etfw"">August 8, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-08,1,0.9156549573
,"@HarryStoltz1 @Sofiaan @IIHS_autosafety @atj721 Ultimately, however, what really matters is empirical safety. Nothing in life is 100% safe, so optimal figure of merit is how many millions of miles/km per accident.",elonmusk,http://twitter.com/elonmusk/status/1159351633265827840,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Ultimately, however, what really matters is empirical safety. Nothing in life is 100% safe, so optimal figure of merit is how many millions of miles/km per accident.</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159351633265827840?ref_src=twsrc%5Etfw"">August 8, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-08,-1,0.9160619974
,@cleantechnica But actual road data is what matters most https://t.co/q44lsjJZZa,elonmusk,http://twitter.com/elonmusk/status/1159355216262660096,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">But actual road data is what matters most <a href=""https://t.co/q44lsjJZZa"">https://t.co/q44lsjJZZa</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159355216262660096?ref_src=twsrc%5Etfw"">August 8, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-08,-1,0.7855754495
,RT @InsideEVs: That @NHTSAgov letter to @elonmusk should be tossed in the trash. @Tesla Should Proudly Claim #Model3 Is Safest Car Ever Tested By NHTSA https://t.co/mw724iD1BPvia @insideevs.com,elonmusk,http://twitter.com/elonmusk/status/1159359035897835520,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">That <a href=""https://twitter.com/NHTSAgov?ref_src=twsrc%5Etfw"">@NHTSAgov</a> letter to <a href=""https://twitter.com/elonmusk?ref_src=twsrc%5Etfw"">@elonmusk</a> should be tossed in the trash. <a href=""https://twitter.com/Tesla?ref_src=twsrc%5Etfw"">@Tesla</a> Should Proudly Claim <a href=""https://twitter.com/hashtag/Model3?src=hash&amp;ref_src=twsrc%5Etfw"">#Model3</a> Is Safest Car Ever Tested By NHTSA <a href=""https://t.co/mw724iD1BP"">https://t.co/mw724iD1BP</a> via <a href=""https://twitter.com/InsideEVs?ref_src=twsrc%5Etfw"">@insideevs</a>.com</p>&mdash; InsideEVs (@InsideEVs) <a href=""https://twitter.com/InsideEVs/status/1159274837078106112?ref_src=twsrc%5Etfw"">August 8, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-08,-1,0.9999343157
,"@brunosilva @vincent13031925 @ResidentSponge @Teslarati @Tesla We're working with EU regulators to improve rules. Spirit of rules is correct, but exact language doesn't quite align with spirit. Navigate on Autopilot working well in rest of world.",elonmusk,http://twitter.com/elonmusk/status/1159539917837307904,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">We're working with EU regulators to improve rules. Spirit of rules is correct, but exact language doesn't quite align with spirit. Navigate on Autopilot working well in rest of world.</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159539917837307904?ref_src=twsrc%5Etfw"">August 8, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-08,1,0.7291381955
,RT @Teslarati: Tesla Navigate on Autopilot with automatic lane changes performs smooth 'waltz' with other vehicles in traffic https://t.co/0MusYYQQfs,elonmusk,http://twitter.com/elonmusk/status/1159625012606730241,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Tesla Navigate on Autopilot with automatic lane changes performs smooth 'waltz' with other vehicles in traffic<a href=""https://t.co/0MusYYQQfs"">https://t.co/0MusYYQQfs</a></p>&mdash; TESLARATI (@Teslarati) <a href=""https://twitter.com/Teslarati/status/1159515485400158213?ref_src=twsrc%5Etfw"">August 8, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9773936272
,Thanks George! https://t.co/ccWYz9FqhH,elonmusk,http://twitter.com/elonmusk/status/1159629807555993600,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Thanks George! <a href=""https://t.co/ccWYz9FqhH"">https://t.co/ccWYz9FqhH</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159629807555993600?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9942868352
,"@Teslarati Wouldn't read too much into this. Likely to be fewer F9/FH flights, but possibly an order of magnitude more than these numbers in Starship flights.",elonmusk,http://twitter.com/elonmusk/status/1159630890026188800,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Wouldn't read too much into this. Likely to be fewer F9/FH flights, but possibly an order of magnitude more than these numbers in Starship flights.</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159630890026188800?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,-1,0.9999396801
,@JaneidyEve @Teslarati No sooner than a week. Working approvals with FAA.,elonmusk,http://twitter.com/elonmusk/status/1159631646351454208,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">No sooner than a week. Working approvals with FAA.</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159631646351454208?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9392081499
,"@vincent13031925 Yeah, George is a little nuts, but I like him &amp; he often has interesting things to say",elonmusk,http://twitter.com/elonmusk/status/1159655968369565696,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Yeah, George is a little nuts, but I like him &amp; he often has interesting things to say</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159655968369565696?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.8761571646
,"@DisruptResearch @vincent13031925 Don't know enough about George's company, but it sounds like he's focused on a machine vision approach, which is the only general solution imo",elonmusk,http://twitter.com/elonmusk/status/1159657148332167168,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Don't know enough about George's company, but it sounds like he's focused on a machine vision approach, which is the only general solution imo</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159657148332167168?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,-1,0.9320258498
,@marialauraadr @vincent13031925 Pot kettle,elonmusk,http://twitter.com/elonmusk/status/1159657251314884608,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Pot kettle </p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159657251314884608?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.8387861252
,@greenenergyluv @cleantechnica,elonmusk,http://twitter.com/elonmusk/status/1159723252907778049,"<blockquote class=""twitter-tweet""><p lang=""und"" dir=""ltr""></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159723252907778049?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9412326813
,Tesla software V10 is lookin real good! Releasing to early access list soon ...,elonmusk,http://twitter.com/elonmusk/status/1159727724287520768,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Tesla software V10 is lookin real good! Releasing to early access list soon ...</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159727724287520768?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9964983463
,@Some1gee Tons of fun!,elonmusk,http://twitter.com/elonmusk/status/1159728177423384576,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Tons of fun!</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159728177423384576?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9967607856
,@bobjouy Thanks for reminding me. Will rectify.,elonmusk,http://twitter.com/elonmusk/status/1159730487335641088,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Thanks for reminding me. Will rectify.</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159730487335641088?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,-1,0.5635352731
,@joost_akker @bobjouy FSD owners will get priority in the upload queue,elonmusk,http://twitter.com/elonmusk/status/1159732678024781824,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">FSD owners will get priority in the upload queue</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159732678024781824?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.8279436827
,@HeyMarkL Video is amazing with the Tesla sound system. Will include Caraoke!,elonmusk,http://twitter.com/elonmusk/status/1159733781101629440,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Video is amazing with the Tesla sound system. Will include Caraoke!</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159733781101629440?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9984587431
,"@Kristennetten @joost_akker @bobjouy Probably every 2 to 4 months, depending on how much progress we make",elonmusk,http://twitter.com/elonmusk/status/1159734177085870081,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Probably every 2 to 4 months, depending on how much progress we make</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159734177085870081?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.8345621228
,"@DavidPereiro @Kristennetten @joost_akker @bobjouy We're accelerating opening up configurator/order page for more countries. Sorry, lot on our plate!",elonmusk,http://twitter.com/elonmusk/status/1159736372229332992,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">We're accelerating opening up configurator/order page for more countries. Sorry, lot on our plate!</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159736372229332992?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,-1,0.9348134398
,@chiledaniel Priority / early access will be automatic for all owners with FSD,elonmusk,http://twitter.com/elonmusk/status/1159880891881013248,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Priority / early access will be automatic for all owners with FSD</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159880891881013248?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.7778886557
,Gas cars are so last-century! https://t.co/jrfrXjbLeZ,elonmusk,http://twitter.com/elonmusk/status/1159902588138975233,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Gas cars are so last-century! <a href=""https://t.co/jrfrXjbLeZ"">https://t.co/jrfrXjbLeZ</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1159902588138975233?ref_src=twsrc%5Etfw"">August 9, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-09,1,0.9732052684
